index,cookTime,datePublished,description,image,ingredients,name,prepTime,recipeYield,url,total_time,difficulty
501,PT15M,2013-01-31,"I made these tacos before my family and I left for our trip to Colorado, and we devoured every bite. They're pretty much the ...",http://static.thepioneerwoman.com/cooking/files/2013/01/tacos.jpg,"16 whole Taco Shells 2 pounds Ground Beef 3 Tablespoons Taco Seasoning 1 can (4 Ounce) Tomato Paste  Salt To Taste 1 can (14.5 Ounce) Beans (kidney, Pinto, Chili), Undrained 1/2 cup Hot Water 1 head Green Leaf Lettuce, Sliced Very Thin 1 cup Grape Tomatoes, Halved (or Diced Regular Tomatoes) 1 cup Grated Cheese (cheddar, Jack, Or Cheddar/jack)  FOR THE DRESSING: 1/4 cup Mayonnaise 1/4 cup Sour Cream 1/4 cup Salsa 1 Tablespoon Ranch Dressing Mix (optional)  Extra Hot Sauce (optional)  Crushed Tortilla Chips (optional)",Salad Tacos,PT10M,8,http://thepioneerwoman.com/cooking/2013/01/salad-tacos/,1500.0,Medium
506,PT10M,2013-02-12,"I made these yummy, crunchy, flavorful wraps after church last Sunday for the following reasons:    1. I was alone in the hou...",http://static.thepioneerwoman.com/cooking/files/2013/02/wraps.jpg,"2 whole Boneless, Skinless Chicken Breasts (breast Halves)  OPTION 1 MARINADE/SAUCE 1 Tablespoon Rice Wine Vinegar 1/4 cup Soy Sauce 1 teaspoon Pure Sesame Oil 1 teaspoon Hot Chili Oil  Juice Of 2 Limes 1 Tablespoon Minced Fresh Ginger 2 Tablespoons Brown Sugar (optional) 1 teaspoon Cornstarch 2 Tablespoons Honey (or Brown Sugar)  Peanut Or Canola Oil For Frying  Peanut Sauce 1/2 cup Peanut Butter (crunch/chunky Is Good!) 3 Tablespoons Soy Sauce 3 Tablespoons Honey 1/2 teaspoon Hot Chili Oil 1 teaspoon Crushed Red Pepper  Juice Of 2 Limes  Water, As Needed For Thinning  Wraps 2 whole Whole-wheat Tortillas  Green Leaf Or Other Lettuce, Leaves Left Whole Or Shredded 1 whole Large Carrot, Cut Into Thin Strips Or Julienne 1/2 whole Cucumber, Seeds Scraped Out, Cut Into Strips  Cilantro Leaves  Shelled Peanuts  Optional Additions:  Bean Sprouts  Alfalfa Sprouts  Baby Spinach Leaves  Thinly Sliced Red Onion  Sliced Green Onion  Blanched Asparagus  Salt And Pepper, to taste  Sriracha",Thai Chicken Wraps,PT20M,2,http://thepioneerwoman.com/cooking/2013/02/thai-chicken-wraps/,1800.0,Medium
510,PT15M,2013-03-04,"When I get a hankering for beef fajitas, I pretty much can think of nothing else until I eat them. I made them over the weeke...",http://static.thepioneerwoman.com/cooking/files/2013/03/fajitas1.jpg,"1 whole Beef Flank Steak 1/2 cup Olive Oil 3 Tablespoons Worcestershire Sauce 1/3 cup Lime Juice, Fresh Squeezed 3 cloves Garlic, Minced 1 Tablespoon Cumin 1 Tablespoon Chili Powder 1/2 teaspoon Red Pepper Flakes 1 teaspoon Salt 1/2 teaspoon Black Pepper 1 Tablespoon Sugar 2 whole Medium Onions, Halved And Sliced 1 whole Red Bell Pepper, Sliced 1 whole Orange Bell Pepper, Sliced 1 whole Green Bell Pepper, Sliced 1 whole Yellow Bell Pepper, Sliced  Oil, For Frying  Flour Tortillas, Warmed  Cheese (grated Cheddar/jack Or Crumbled Queso Fresco)  Salsa  Sour Cream  Cilantro Leaves",Beef Fajitas,PT2H,8,http://thepioneerwoman.com/cooking/2013/03/beef-fajitas/,8100.0,Hard
523,PT5M,2007-10-02,"    Mmmmm...this is it, folks: The Sandwich That Brings Me the Most Happiness in Life. Granted, it's no Marlboro Man's Favori...",http://static.thepioneerwoman.com/cooking/files/2010/07/1470622409_212bb118bd.jpg,"1 Tablespoon Dijon Mustard, to taste 1 Tablespoon Mayonnaise, to taste 1 whole Tomato 1 whole Red Onion, Small 2 slices Mild Cheddar 1 can (4 Oz.) Whole Green Chilies 2 slices Provolone 2 slices Rye Bread  Butter",Pioneer Woman’s Favorite Sandwich,PT10M,1,http://thepioneerwoman.com/cooking/2007/10/pioneer_womans_favorite_sandwich/,900.0,Medium
556,PT0M,2004-09-06,101 Cookbooks: Chocolate Calypso Beans Recipe,http://www.101cookbooks.com/mt-static/images/food/ranchogordobeans.jpg,"1 lb. Jacob's Cattle beans 2 T. olive oil 1 large onion, chopped 1 red bell pepper, chopped 5 cloves garlic, minced 2T. ground, dried red chilies (I used med-hot Chimayo) 1 1/2 T ground cumin 2+ t.  ground cinnamon  1 t. ground allspice 4 1/2 cups water or vegetable stock 1 12 oz. bottle Negro Modelo Mexican beer 1 1/2 discs Ibarra Mexican chocolate",Chocolate Calypso Beans (remix),PT0M,,http://www.101cookbooks.com/archives/000116.html,0.0,Unknown
559,PT0M,2004-12-01,101 Cookbooks: Green Curry with Tofu Recipe,http://www.101cookbooks.com/mt-static/images/food/.jpg,"Ingredients for chili paste: 2 green hot chilies (Thai chilies) 1 tablespoon chopped shallots 1 teaspoon chopped galangal  1/2 teaspoon chopped kaffir lime rind 1 tablespoon chopped garlic 1 tablespoon chopped lemongrass 1 tablespoon chopped krachai 1/4 teaspoon roasted cumin seeds 1/4 teaspoon roasted coriander seeds 1/2 teaspoon salt Other ingredients: 1 cup sliced eggplants 1/4 cup smaller pea-like eggplants (makheau phuang) 1/3 cup sliced onion 70 grams sliced chicken (or firm tofu) 1 teaspoon sugar 1 tablespoon fish sauce (or soy sauce for vegetarians) 3 kaffir lime leaves 2 stems sweet basil (horapaa) 1 cup coconut milk 1 cup water (Again, chicken can be replaced tofu)",Green Curry with Tofu,PT0M,,http://www.101cookbooks.com/archives/000130.html,0.0,Unknown
561,PT0M,2005-02-01,101 Cookbooks: Wild Mushroom Salad Recipe,http://www.101cookbooks.com/mt-static/images/food/thaiwildmush.jpg,"150 g (5 oz) assorted wild mushrooms 2 tablespoons stock pinch of salt pinch of white sugar - optional 3 tablespoons lime juice (you might use less) 2 tablespoons fish sauce (for veg: substitute a splash of soy sauce) large pinch of roasted chili powder 4 shallots, sliced handful of mixed mint and coriander leaves 2 tablespoons shredded pak chii farang (long-leaf coriander) 1 tablespoon chopped spring (green) onion 1 tablespoon ground roasted rice -a few sprigs of Thai basil -sliced cabbage and cucumber",Wild Mushroom Salad Recips,PT0M,,http://www.101cookbooks.com/archives/000140.html,0.0,Unknown
570,PT0M,2009-05-13,"The best pot of chili I've made in years. A vegetarian chili recipe Inspired by a bunch of those little bags of remnant grains and pulses that collect in my cupboards - bulgur, farro, and lentils, join chile peppers, crushed tomatoes, some chickpeas, and a secret ingredient.",http://www.101cookbooks.com/mt-static/images/food/vegetarian_chili_recipe.jpg,"2 tablespoons olive oil 1 large yellow onion, chopped 2 shallots, chopped 8 small/med garlic cloves, finely chopped 1 tablespoon ginger, peeled and grated 3 tablespoons chili powder 1 teaspoon ground cumin 1 serrano pepper, seeded and finely chopped 1 chipotle pepper (from can or rehydrate), minced 1 28-ounce can of crushed tomatoes 10  cups vegetable broth 1 1/2 cups cooked chickpeas (canned is fine) 2 1/4 cups black, brown, or green lentils (or combo), rinsed and picked over 2/3 cup pearled barley or pearled farro 2/3 cup bulgur wheat 1 teaspoon fine grain sea salt (or to taste) toppings (opt): a bit of chopped serranos, a bit of feta or dollop of thinned out salted yogurt, a drizzle of equal parts chopped fresh oregano and olive oil, chopped onion",Pierce Street Vegetarian Chili Recipe,PT0M,,http://www.101cookbooks.com/archives/pierce-street-vegetarian-chili-recipe.html,0.0,Unknown
581,PT0M,2008-06-19,"My tortilla soup recipe - a full-bodied, spicy vegetarian broth envelops a nest of baked tortilla matchsticks. Tiny roasted tomatoes along with a bit of goat cheese lend tang and texture, and flecks of sun-dried tomatoes bring depth and richness to each bowl.",http://www.101cookbooks.com/mt-static/images/food/tortilla_soup_recipe.jpg,"6-8 corn tortillas, cut in half and then into  matchstick-thin strips a big splash of extra virgin olive oil fine grain sea salt 20 small yellow or red cherry tomatoes another splash of extra virgin olive oil 3 cloves garlic, chopped 1 large white onion, chopped 1 teaspoon ground cumin 2 teaspoons ground coriander 1 teaspoon cayenne or other spicy red chili powder 1 14-ounce can crushed tomatoes 6 cups vegetable broth (or water) a few sun-dried tomatoes, chopped 1/4 cup of goat cheese, crumbled",Vegetarian Tortilla Soup Recipe,PT0M,Makes about 6 servings.,http://www.101cookbooks.com/archives/vegetarian-tortilla-soup-recipe.html,0.0,Unknown
612,PT0M,2004-11-15,"A recipe from my first book that was featured in the Washington post - sweet potatoes, chipotle, corn, onions, and puff pastry.",http://www.101cookbooks.com/mt-static/images/food/potpies1.jpg,"3 tablespoons extra-virgin olive oil   1 medium white or yellow onion, chopped   3 cloves garlic, chopped   2 1/2 to 3 cups sweet potatoes, peeled and diced into  1/4-inch pieces   1/2 teaspoon salt (plus more to taste)   1 tablespoon adobo sauce from a can of chipotle chilies (or more to taste)   1 cup corn kernels, fresh or frozen   2 cups cold whole or low-fat milk   2 tablespoons cornstarch   1 box puff pastry dough (allow 20 to 30 minutes to thaw)   1 egg white",Sweet Potato Pot Pie Recipe,PT0M,,http://www.101cookbooks.com/archives/000127.html,0.0,Unknown
625,PT0M,2008-10-11,"A rich, hearty vegetarian mole recipe from Denis Cotter's new book. Seasonal beans, squash, and kale are baked in a rich, hearty chocolate and paprika-spiked mole. ",http://www.101cookbooks.com/mt-static/images/food/pumpkin_mole_recipe.jpg,"~1 1/2 cups (7 ounces) fresh borlotti beans ~1 1/2 cups (7 ounces) winter squash olive oil 4 - 5  big leaves of kale (3 1/2 ounces) 2 tablespoons butter 1 medium onion, chopped 2 - 4 red jalapeno chiles, halved, seeded, and chopped 2 garlic cloves, chopped 1 pound of fresh plum tomatoes, chopped or 14-ounce can 2 teaspoons paprika 1 ounce of almonds, dark roasted and finely ground 2 ounces dark 70% dark chocolate, broken into pieces salt",Borlotti Bean Mole with Roast Winter Squash,PT0M,Serves 4.,http://www.101cookbooks.com/archives/borlotti-bean-mole-with-roast-winter-squash-recipe.html,0.0,Unknown
647,PT0M,2006-04-21,"Turn to this miraculously delicious soup when you are feeling sick - beans, water, garlic, shallots, chiles. Total active prep time was under five minutes, the rest is just waiting and anticipating. ",http://www.101cookbooks.com/mt-static/images/food/soup_for_when_sick.jpg,"1 pound cranberry beans (like Borlotti) 8 cups of water 15 medium cloves of garlic, peeled and trimmed 2 big shallots (I might have used a white onion but didn't have one), sliced on the axis into thin crescents 2-3 dried smoked chiles (I used smoked serranos) but I suspect dried chipotles or even one or two chipotles from the can (in adobo sauce) would work nicely 2 teaspoons+  fine sea salt for seasoning a drizzle of flavorful extra-virgin olive oil a small handful of cilantro, chopped a couple (optional) handfuls of a salty hard cheese, Parmesan, grated (I think my mystery cheese was actually Three Sisters Serena)",A Good Soup for the Sick,PT0M,Serves 4 to 6,http://www.101cookbooks.com/archives/001397.html,0.0,Unknown
651,PT0M,2008-01-03,"Healthy, quick, and satisfying this lentil soup recipe delivers layer after layer of flavor. The tang of the tomatoes plays off the earthiness of the lentils, and the fragrant bolt of saffron yogurt brightens each bowl.",http://www.101cookbooks.com/mt-static/images/food/lentil_soup_recipe_07.jpg,"2 cups black beluga lentils (or green French lentils), picked over and rinsed 1 tablespoon extra virgin olive oil 1 large onion, chopped 1 teaspoon fine-grain sea salt 1 28-ounce can crushed tomatoes 2 cups water  3 cups of a big leafy green (chard, kale, etc), rinsed well, deveined, finely chopped Saffron Yogurt a pinch of saffron (30-40 threads) 1 tablespoon boiling water two pinches of salt 1/2 cup 2% Greek Yogurt  Variations: - You can serve it with a poached egg on top, - or crunchy, fried shallots, - with a drizzle of chive infused cream, - or with chunks of tiny pan-fried butternut squash cubes. - Make a thicker version by using just a bit of water, and then spoon it over an omelette in the morning. - Have some cooked farro or wheat berries around? Toss some in. Millet might be good too. - You can finish the soup by adding your favorite spices or spice blends. Smoked paprika, crushed chiles, toasted cumin, would all work nicely.",Lively Up Yourself Lentil Soup Recipe,PT0M,Serves 6 to 8. ,http://www.101cookbooks.com/archives/lively-up-yourself-lentil-soup-recipe.html,0.0,Unknown
662,PT0M,2005-08-21,"Smoky and creamy, this salsa recipe is best drizzled over eggs, quesadilla, and crepes.",http://www.101cookbooks.com/mt-static/images/food/soty1.jpg,"3 T. vegetable oil  1 ounce dried mirasol (milder) or smoked serrano (more heat) chilies garlic, 12 small to medium cloves - peeled Another 3 T. vegetable oil 1 1/4 cups vegetable broth - Stir in 1/3 cup cream (or to taste) - for a slightly creamy sauce that will add a bit of kick to a wide range of recipes. (this is the sauce you see in the pictures on this post). Drizzle on savory crepes, egg dishes, casseroles, etc. - Stir a couple tablespoons into light or vegan mayo for a spicy sandwich spread. - Spread on panini: with all sorts of fixings.",Salsa of the Year,PT0M,Makes about 1 cup.,http://www.101cookbooks.com/archives/000325.html,0.0,Unknown
664,PT0M,2006-08-08,"A quartet of vibrant, colorful, and unique compound butter recipes - Smoked Paprika, Dry Desert Lime, Raw Serrano, and Dehydrated Strawberry.  ",http://www.101cookbooks.com/mt-static/images/food/compoundbutter.jpg,"4 tablespoons unsalted organic butter, room temperature 1 or 2 Numi Desert Lime tea bags (depending on how strong you want it), cut open and the contents ground in a mortar and pestle 1/4 teaspoon fine grain sea salt 4 tablespoons unsalted organic butter, room temperature 1 tablespoon organic cane sugar (I used Florida Crystals) 1/3 cup dehydrated organic strawberries, minced 4 tablespoons unsalted organic butter, room temperature 2 serrano chiles, deveined and  seeded, loosely chopped 1/4 teaspoon fine grain sea salt 4 tablespoons unsalted organic butter, room temperature 1 - 1 1/2 teaspoons smoked paprika 1/4 teaspoon fine grain sea salt",A Quartet of Compound Butters,PT0M,,http://www.101cookbooks.com/archives/001470.html,0.0,Unknown
699,PT100M,2010-09-15,"Easily one of the best, most interesting soups I've cooked in years. Adapted from a recipe in Rick Bayless's Mexican Kitchen - a dried fava bean and roasted tomato base topped with a fascinating cider-kissed tangy/sweet quick-pickled chile topping.",http://www.101cookbooks.com/mt-static/images/food/fava_soup_recipe.jpg,"1 pound / 16 oz / 450g hulled dry fava beans, rinsed (see photo for reference if needed) 8 cups / 2 liters good vegetable broth or water 6 garlic cloves, unpeeled 1 large white onion, sliced 1/2-inch / 1 cm thick 1 1/2 pounds / 24 oz / 680g ripe tomatoes 6 medium dried guajillo or pasilla chiles, stemmed &amp; seeded 2 tablespoons extra virgin olive oil 2 tablespoons cider vinegar 3/4 teaspoon dried Mexican oregano 1 1/2 teaspoon fine-grain sea salt, plus more to taste 1/2 cup / .25 oz / 10g loosely packed chopped cilantro 2 tablespoons chopped fresh mint, pref. spearmint 1/2 cup / 2 oz / 55g crumbled Mexican queso anejo or feta",Dried Fava Soup with Mint and Guajillo Chiles,PT10M,,http://www.101cookbooks.com/archives/dried-fava-soup-with-mint-and-guajillo-chiles-recipe.html,6600.0,Hard
708,PT3M,2011-05-03,"We picked two new cookbooks to focus on in the 101 Cookbooks Library, and this recipe is inspired by a recipe from one of them. A refreshing chopped cucumber salad loaded with peanuts, spices, coconut, and chiles.",http://www.101cookbooks.com/mt-static/images/food/cucumber_peanut_salad_recipe.jpg,"3 medium cucumbers, partially peeled 1-2 green serrano chiles, stemmed and minced 1/2 cup / 2.5 ounces / 70 g peanuts, toasted 1/3 cup / 1.5 ounces / 45 g dried large-flake coconut, toasted 2 tablespoons fresh lemon juice 1 teaspoon natural cane sugar 1 tablespoon, ghee, clarified butter, or sunflower oil 1/2 teaspoon black mustard seeds 1/4 teaspoon cumin seeds scant 1/2 teaspoon fine grain sea salt a handful cilantro, chopped",Cucumber Peanut Salad,PT10M,,http://www.101cookbooks.com/archives/cucumber-peanut-salad-recipe.html,780.0,Medium
716,PT0M,2006-11-20,"Made from carrots, this is a healthy, simple and delicious alternative to deep-fried potatoes. These baked oven fries (made from carrots) are simply roasted with olive oil and a sprinkling of sea salt.  ",http://www.101cookbooks.com/mt-static/images/food/bakedcarrotfries1.jpg,"a big bunch of farmers' market carrots, washed, trimmed extra virgin olive oil sea salt 4 ounces organic tofu 1/4 cup orange juice quick squeeze of lime scant 1 teaspoon adobo sauce from a can of chipotle chiles 1/2 teaspoon fine grain sea salt",Baked Carrot Oven Fries,PT0M,,http://www.101cookbooks.com/archives/001529.html,0.0,Unknown
740,PT0M,2008-05-15,"A quick and delicious green curry recipe - peas, asparagus, and tofu swimming in a fragrant, not-overly-rich Thai green chile broth.",http://www.101cookbooks.com/mt-static/images/food/light_greencurry_recipe.jpg,"2 teaspoons green curry paste* scant 1/2  teaspoon salt 1 14-ounce can coconut milk (light ok) 1 large onion, sliced 14 ounces water or light vegetable broth 6 ounces of firm tofu cut into 1/2 inch cubes 1 cup peas, fresh or frozen 2 cups asparagus, cut into 1/2-inch segments squeeze of fresh lime juice 1/4 cup small basil leaves 2 green hot chilies (Thai chilies) 1 tablespoon chopped garlic 1 tablespoon chopped shallots 1 teaspoon chopped galangal 1/2 teaspoon chopped kaffir lime rind 1 tablespoon chopped lemongrass 1 tablespoon chopped krachai 1/4 teaspoon roasted cumin seeds 1/4 teaspoon roasted coriander seeds 1/2 teaspoon salt",In a Hurry Green Curry Recipe,PT0M,Serves 4.,http://www.101cookbooks.com/archives/in-a-hurry-green-curry-recipe.html,0.0,Unknown
786,PT15M,2010-11-10,"Cauliflower tastes great like this. Imagine a skillet of caramelized onions cooked down with fragrant cumin, ginger, garlic, sesame seeds and chiles. Add cauliflower and cook until tender. Vibrant, spicy, sweet earthiness, all on one plate.",http://www.101cookbooks.com/mt-static/images/food/spicy_cauliflower_recipe.jpg,"1 1/2 tablespoons extra-virgin olive oil or clarified butter 1 teaspoon cumin seeds 2 medium yellow onions, finely sliced a pinch of turmeric fine grain sea salt 1 medium / 12 oz cauliflower, thinly sliced  4 dried red chiles, stemmed and halved 1-2 teaspoon sesame seeds, lightly toasted 1 garlic clove, grated 4 cm / 1 1/2-inch piece of fresh ginger, peeled and finely grated 1-2 green jalapeno chiles, seeds removed, finely chopped 2-3 tablespoons chopped fresh cilantro / coriander",Spiced Cauliflower with Sesame Seeds,PT20M,,http://www.101cookbooks.com/archives/spicy-cauliflower-with-sesame-recipe.html,2100.0,Medium
790,PT10M,2011-05-31,"A simple Indian-spiced green pea soup, and a few snapshots of things I'm bringing with me in a move up the street.",http://www.101cookbooks.com/mt-static/images/food/pea_soup_recipe.jpg,"3 tablespoons fresh ginger, well chopped 10 sm-med cloves garlic, smashed and peeled 2 serrano chiles, stemmed and chopped 1/4 teaspoon ground cumin, plus more to serve 3 tablespoons ghee or sunflower oil 2 bay leaves 1 medium onion, chopped 4 1/2 cups good-tasting vegetable stock or water 3 1/2 cups / 500 g / 18 oz shelled fresh or frozen peas 1 teaspoon sea salt, or to taste a squeeze of fresh lemon juice 8 fresh mint leaves, slivered pan-fried paneed, queso fresco, or haloumi, cut into tiny cubes - optional",Green Pea Soup Recipe,PT7M,Serves 4 - 6.,http://www.101cookbooks.com/archives/green-pea-soup-recipe.html,1020.0,Medium
814,PT40M,2011-01-01,"An amazing New Year Noodle Soup from Greg &amp; Lucy Malouf's beautiful book, Saraban. It's a bean and noodle soup at its core featuring thin egg noodles swimming in a fragrant broth spiced with turmeric, cumin, chiles, and black pepper. You use a medley of lentils, chickpeas, and borlotti beans which makes the soup heart and filling without being heavy. You add spinach, dill, and cilantro. You add lime juice for a bit of sour at the end. And then you've got a number of toppings to add when you serve the soup - chopped walnuts, caramelized onions, and sour cream. Amazing.",http://www.101cookbooks.com/mt-static/images/food/newyear_noodle_soup_recipe_xl.jpg,"2 tablespoons olive oil 1 onion, thinly sliced 1 long red chili OR green serrano, finely chopped 1/2 teaspoon ground turmeric 1 teaspoon ground cumin 1/4 teaspoon freshly ground black pepper 8 1/2 cups / 2 liters good-tasting vegetable stock/broth 100g / 3.5 oz yellow split peas or brown lentils 1 1/2 cups cooked chickpeas, rinsed if using canned 2 cups / 350g cooked borlotti beans fine grain sea salt 120 g thin egg noodles, fresh or dried 3 1/2 oz / 100g fresh spinach leaves, finely shredded 1/2 cup finely shredded cilantro leaves 2 tablespoons chopped fresh dill juice of one lime Toppings: 1 tablespoon olive oil 1 tablespoon unsalted butter 1 large onion, thinly sliced 100 ml sour cream or creme fraiche 50g / scant 2 ounces of toasted, chopped walnuts",New Year Noodle Soup,PT20M,,http://www.101cookbooks.com/archives/new-year-noodle-soup-recipe.html,3600.0,Medium
898,PT0M,2007-05-18,"Baked eggs in edible cups with cherry tomatoes, garlic, olive oil and  lots of vibrant spices.",http://www.101cookbooks.com/mt-static/images/food/bakedeggrecipe_07.jpg,"2-3 tablespoons extra virgin olive oil 3 big pinches ground cumin 2 big pinches chili flakes 2 big pinches smoked paprika 2 big pinches fine sea salt 1 cup spring (or regular) onion, chopped 1 clove garlic, chopped 1 cup cherry tomatoes, halved or quartered 2 pieces of pita bread, cut into quarters 6 large organic eggs Garnish: finely chopped tomatoes, chile flakes, cilantro (optional) Special equipment: standard 12 muffin tin",Baked Egg Recipe,PT0M,Makes six egg cups.,http://www.101cookbooks.com/archives/baked-eggs-recipe.html,0.0,Unknown
1014,PT0M,2005-12-30,"This candied walnut recipe was is the perfect solution to a New Years Eve hors d'oeuvres dilemma. Made with walnuts, sea salt, black pepper, cinnamon, cayenne pepper, and powdered sugar.",http://www.101cookbooks.com/mt-static/images/food/candiedwalnutrecipe.jpg,"Peanut or canola oil for deep-frying (hs note: has anyone seen an organic peanut oil out there?) Finely ground sea salt, preferably gray salt  Freshly ground black pepper  1/2 teaspoon ground cinnamon  1/2 teaspoon cayenne pepper  4 cups walnut halves  1 cup confectioners' sugar, sifted 2 cans (15 1/2 ounces each) chickpeas (garbanzo beans)  3/4 cup buttermilk 3/4 cup olive oil 1 1/2 cups 1Arborio Rice Coating (below) 1/4 cup thinly sliced garlic  15 fresh sage leaves 2 teaspoons thin serrano chili slices (optional)  Finely ground sea salt, preferably gray salt  Zest of 1 lemon, cut into julienne  Freshly ground black pepper 1 cup Arborio rice  3 cups unbleached all-purpose flour  1 cup semolina flour  2 tablespoons finely ground sea salt, preferably gray salt  1 teaspoon freshly ground black pepper ",Spiced Candied Walnuts Recipe,PT0M,Makes 4 cups.Makes about 5 cups.,http://www.101cookbooks.com/archives/001033.html,0.0,Unknown
1031,PT0M,2009-04-29,"Monica Bhide's Chile Pea Puff recipe - crispy-skinned baked snacks stuffed with peas, paneer cheese, chiles, and garlic. From her new cookbook - Modern Spice: Inspired Indian Flavors for the Contemporary Kitchen.",http://www.101cookbooks.com/mt-static/images/food/pea_puff_recipe.jpg,"nonstick cooking spray (HS note: or a bit of olive oil) 1 cup cooked green peas, lightly mashed 1/4 cup crumbled paneer 2 small green serrano chiles, minced (remove seeds to reduce heat) 1/4 teaspoon salt to start 1/4 teaspoon red chile powder or red chile flakes (less to reduce heat) 1/2 teaspoon minced garlic 32 wonton wrappers 1 egg white, lightly beaten",Monica Bhide's Chile Pea Puffs,PT0M,Makes 32 puffs.,http://www.101cookbooks.com/archives/monica-bhides-chile-pea-puffs-recipe.html,0.0,Unknown
1037,PT10M,2011-10-05,"Potstickers - For my flight to London,  I made the filling with lots of caramelized shallots &amp; pureed yellow split peas then pan-fried them until the bottoms were crisp and golden. They freeze like beautifully, perfect for quick dumpling-centric meals later on.",http://www.101cookbooks.com/mt-static/images/food/potsticker_recipe.jpg,"1/2 cup sunflower oil 8 green onions / scallions, white and green parts, thinly sliced 1 small serrano chiles, thinly sliced, or to taste 1 1/2 tablespoons sugar 1/4 cup / 60 ml soy sauce  1/4 cup / 60 ml water 4 tablespoons sunflower oil, plus more for pan-frying 1/2 cup chopped shallots (4 medium) 1/2 teaspoon fine grain sea salt, or to taste 2 cups / 11 oz / 310 g cooked yellow split peas, ideally at room temperature, then process in a food processor until uniform and fluffy 1 package round potsticker wrappers",Golden Potstickers,PT60M,Makes a big platter of dumplings.,http://www.101cookbooks.com/archives/golden-potstickers-recipe.html,4200.0,Hard
